Unnamed: 0,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,happy,sad,angry,happiness,sadness,anger,disgust,surprise,fear
35,2F8zvO8WFzQPGTgeh54Yqv,O Euchari in leta via,O Euchari in leta via,Hildegard von Bingen,2024-08-22,39,123869,0.31,0.97,0.177,0.0,0.103,0.29,-12.915,0.0391,83.698,10,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36,0OkV3wL5dbW3fiY8IUKmVw,"Serenade in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro","Mozart: Symphony No. 40, Eine Kleine Nachtmusick & Other Mozart Favorites",Wolfgang Amadeus Mozart,2009-07-16,36,356249,0.499,0.927,0.288,0.949,0.0815,0.415,-10.85,0.0372,133.219,7,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
37,4Qs9FqBjUbiqRdimNv19pK,Recuerdos de la Alhambra,An Idea,Andrés Madariaga,2022-10-22,39,325271,0.209,0.843,0.294,0.88,0.0948,0.269,-19.431,0.0359,78.974,2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38,0Z6877OqQFGXowmMhfNS9a,"Pavane, Op. 50",Faure: Pavane / Sicilienne,Gabriel Fauré,2024-04-04,36,422183,0.171,0.971,0.0479,0.932,0.117,0.0523,-23.218,0.0409,126.625,6,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,57kvtb1ltRYbJfaE1SMqks,"Concerto No. 1 in E Major, Op. 8, RV 269, “La primavera” (Spring) : II. Largo",Vivaldi: The Four Seasons,Antonio Vivaldi,2009-07-01,33,148930,0.25,0.961,0.211,0.346,0.0966,0.079,-14.489,0.0401,84.763,1,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,417uD2jzW3c4oTrOauWumy,"Sicilienne, Op. 78",Faure: Pavane / Sicilienne,Gabriel Fauré,2024-04-04,35,244075,0.116,0.871,0.0917,0.93,0.107,0.0639,-23.721,0.0405,83.368,7,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,7elGa98KXTWCCkvbHVjMs3,"Concerto No. 1 in E Major, Op. 8, RV 269, “La primavera” (Spring) : I. Allegro",Vivaldi: The Four Seasons,Antonio Vivaldi,2009-07-01,43,191544,0.477,0.829,0.218,0.785,0.344,0.313,-10.728,0.0342,106.772,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
42,1JCSHol2fd785RZGIt6G39,The Arts and the Hours,The Arts and the Hours,Jean-Philippe Rameau,2024-04-04,33,461523,0.169,0.538,0.232,0.768,0.246,0.0833,-15.936,0.0375,113.086,2,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,1ZauqNrrbC4pYMwMtA2S27,Serenade for Strings in E Major II. Waltz Op. 22,Memories of Prague: Dvořák: Serenade For Strings / Smetana: Die Moldau,The City of Prague Philharmonic Orchestra,2009-08-18,40,407544,0.176,0.872,0.109,0.893,0.168,0.117,-17.132,0.0411,169.017,9,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,7cXWUfkLQlMJXdVPDiJTdS,Cavalleria Rusticana: Intermezzo,Cavalleria Rusticana: Intermezzo,Pietro Mascagni,2024-04-04,35,195690,0.132,0.802,0.244,0.945,0.234,0.0369,-14.183,0.0374,73.26,5,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
45,1yLuvfTQPqmyG0usSuVQYP,"Hungarian Dance No. 1 in G Minor, WoO 1","Hungarian Dance No. 1 in G Minor, WoO 1",Johannes Brahms,2024-03-29,34,215735,0.276,0.792,0.2,0.882,0.52,0.364,-16.671,0.0372,125.779,7,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,4EOSoJQe6HhU1PejD8pr42,"Ouvertüre nach Französischer Art, BWV 831: 8. Echo",Enfleurage,Arseniy Gusev,2023-04-26,39,187158,0.514,0.978,0.192,0.889,0.126,0.938,-19.695,0.0548,97.211,11,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47,4vGAA5ZOgkD0mNJOEfNG0L,"Swan Lake (Suite), Op. 20a, TH.219: 2. Scene - Valse in A Major",Tchaikovsky: Swan Lake Suites,Pyotr Ilyich Tchaikovsky,2024-03-02,42,467476,0.27,0.907,0.179,0.489,0.133,0.147,-13.32,0.0356,99.892,9,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
48,1Sjrt5860is34jNmAdjl5W,Barcarolle,Barcarolle,Jacques Offenbach,2024-04-04,35,216344,0.232,0.834,0.089,0.805,0.384,0.0898,-23.644,0.0305,76.595,2,3,0,0,0,0,0.04420221969485283,0.5902097225189209,0.016071639955043793,0.07241199910640717,0.21064387261867523,0.05644246190786362
49,2r8oNeRBsSlXG6LiNwMbyw,"Symphony No. 40 In G Minor: I. Allegro, K. 550",The Glory of Mozart,Wolfgang Amadeus Mozart,2010-01-18,36,426171,0.351,0.944,0.307,0.946,0.115,0.19,-13.204,0.033,114.631,7,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,4NhuGX3w3HxYEbI1WMmws2,"Two Pieces, Op. 47: 1. Lotus Land","Two Pieces, Op. 47: 1. Lotus Land",Cyril Scott,2023-03-28,40,307411,0.384,0.986,0.0215,0.948,0.105,0.0358,-26.477,0.0469,68.027,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,2aKZ0gsXIAo8WkAn7w8Wp4,Faun’s Riddle (Acertijo del Fauno),Faun’s Riddle (Acertijo del Fauno),Julián Fueyo,2023-06-14,34,146760,0.296,0.995,0.0497,0.899,0.0847,0.0371,-31.104,0.0457,104.386,6,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,0ewKoLCxSmhkYvwNKMtmDj,"Intermezzo, Op. 117, No. 2 in B-Flat Minor",Enfleurage,Arseniy Gusev,2023-04-26,31,310043,0.286,0.988,0.0114,0.955,0.123,0.0395,-30.29,0.0412,84.683,3,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
53,7peGuJtU76TKrTYpwmxGBU,Lagoon of Forgotten Dreams (Laguna de los Sueños Olvidados),Lagoon of Forgotten Dreams (Laguna de los Sueños Olvidados),Julián Fueyo,2023-02-24,45,142444,0.342,0.991,0.013,0.935,0.144,0.0982,-30.436,0.0347,76.632,2,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,2PVGV2o83ZFdwM0E6H4AiW,La Gioconda / Act 3: Dance of the Hours,La Gioconda / Act 3: Dance of the Hours,Amilcare Ponchielli,2024-03-29,37,85506,0.618,0.93,0.11,0.411,0.503,0.413,-17.787,0.055,65.497,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
55,3766ThQKYzY9qy1GmyxJPg,"Prélude, Fugue et Variation, Op. 18: Prélude (Arr. Bauer)",Enfleurage,Arseniy Gusev,2023-04-26,31,267373,0.505,0.995,0.013,0.966,0.076,0.293,-30.228,0.0427,66.385,11,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,22Jl3U3TwB9jYy0rPZiT6C,"The Nutcracker, Op. 71, Act II, Scene XIV: Waltz of the Flowers",Classical Christmas: Greatest Orchestral Holiday Classics,Various Artists,2010-10-18,52,432569,0.17,0.929,0.151,0.938,0.0532,0.127,-17.12,0.0448,176.716,2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
57,0tJMJJdG2Vo0aHrEFy86nw,"Sonatine, M. 40: II. Mouvement de menuet",Enfleurage,Arseniy Gusev,2023-04-26,32,198299,0.369,0.99,0.0346,0.948,0.097,0.0988,-25.467,0.0385,50.574,1,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,1JYwhewZxE6sD338aNe3Bm,La Vida Breve: Danza Española No. 1 (Arr. for Harp & Guitar),¡Viva la danza!,Duo Multicorde,2021-11-01,33,219196,0.359,0.978,0.149,0.941,0.0946,0.218,-20.64,0.0345,96.086,9,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,5to42me5301ochDzLEDeJv,"Le nozze di Figaro, K.492: Overture","Le nozze di Figaro, K.492: Overture",Wolfgang Amadeus Mozart,2024-02-17,39,264734,0.329,0.843,0.211,0.9,0.113,0.295,-14.296,0.0343,132.968,2,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,6EOwtE7JCREMWtntEFR4ho,"Piano Sonata No. 8 In A Minor: I. Allegro Maestoso, K. 310",The Glory of Mozart,Wolfgang Amadeus Mozart,2010-01-18,11,318175,0.309,0.952,0.412,0.936,0.0933,0.382,-11.335,0.0296,142.082,9,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,3R4Z0U3SgolyJ9s3ynWfGw,"Peer Gynt Suite No. 1, Op. 46: I. Morning Mood",Mythical Horizons,The City of Prague Philharmonic Orchestra,2023-06-29,42,235662,0.21,0.904,0.122,0.933,0.117,0.0397,-16.105,0.0376,70.72,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,4sueBN15eHYAQvys4Kfl8T,"Waltz in A-Flat Major, Op. 39 No. 15","16 Waltzes, Op. 39 - No. 15 in A-Flat Major",Johannes Brahms,2023-05-11,35,57246,0.385,0.987,0.0656,0.951,0.103,0.349,-24.516,0.0626,64.886,8,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63,4ohUFvRY2eR17Lxq4p0Xrt,"Rêverie, L.68","Rêverie, L.68",Claude Debussy,2023-02-17,37,241286,0.36,0.993,0.0636,0.946,0.106,0.148,-26.695,0.0506,112.856,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
64,7xYKMuWbTwzMIsmUCM5neF,"On the Beautiful Blue Danube Waltz, Op. 314",Epic Orchestra,The City of Prague Philharmonic Orchestra,2010-01-18,37,675594,0.204,0.945,0.161,0.876,0.0818,0.11,-13.362,0.0364,175.859,2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
65,62RyPhW73NShV3grNMYlCz,"La Source, Op.44","La Source, Op.44",Alphonse Hasselmans,2023-12-10,34,267784,0.242,0.973,0.149,0.825,0.107,0.0477,-20.557,0.0353,75.819,5,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,5gejjt3uQ3tiyvxnjLyVuR,"Prelude, BWV 998",Autumn’s Gaze,Andrés Madariaga,2023-11-10,31,205142,0.309,0.969,0.152,0.962,0.118,0.24,-24.198,0.0515,93.584,3,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,15E2QgeTo2OsZirxbK24FQ,"String Quartet No. 8 in F Major: IV. Allegro, K. 168",The Glory of Mozart,Wolfgang Amadeus Mozart,2010-01-18,31,114391,0.544,0.945,0.414,0.779,0.148,0.815,-12.96,0.0345,129.117,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
68,2NERuuRckm3vIwufXnu9uP,"Concerto No. 4 in F Minor, Op. 8, RV 297, ""L'inverno"" (Winter): III. Allegro",Vivaldi: The Four Seasons,Antonio Vivaldi,2009-07-01,33,205057,0.294,0.913,0.174,0.154,0.29,0.117,-13.652,0.0409,92.674,5,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
