Unnamed: 0,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,trust,fear,negative,sadness,anger,surprise,positive,disgust,joy,anticipation
285,1RDNH7V9Odx6gOZJ4Siehj,How to Be a Heartbreaker,How to Be a Heartbreaker,MARINA,2012-12-07,32,221493,0.69,0.0142,0.897,0.0,0.108,0.849,-4.696,0.0506,140.05,11,4,angry,0.06666666666666667,0.25333333333333335,0.3333333333333333,0.12,0.013333333333333334,0.05333333333333334,0.05333333333333334,0.013333333333333334,0.05333333333333334,0.04
286,5w1ggxiUnlt6lNP6pzGaIO,boys r dumb! duh!,yikes!,Sophie Cates,2019-10-02,0,179008,0.666,0.295,0.505,0.0,0.162,0.29,-6.176,0.0836,147.98,4,4,angry,0.075,0.1375,0.2,0.15,0.0875,0.0125,0.125,0.0625,0.075,0.075
287,1KGi9sZVMeszgZOWivFpxs,No Scrubs,Fanmail,TLC,1999-02-23,82,214400,0.743,0.0251,0.675,0.000717,0.0685,0.59,-4.267,0.0953,92.909,8,4,angry,0.08496732026143791,0.013071895424836602,0.22875816993464052,0.0196078431372549,0.006535947712418301,0.006535947712418301,0.16993464052287582,0.20261437908496732,0.16993464052287582,0.09803921568627451
288,77o1HdXHm1hLd7Ebe9ygd0,THAT BITCH,THAT BITCH,Bea Miller,2019-11-01,60,201101,0.778,0.0103,0.738,0.0,0.55,0.626,-2.164,0.218,162.132,2,4,angry,0.05622489959839357,0.18072289156626506,0.17269076305220885,0.1606425702811245,0.17670682730923695,0.008032128514056224,0.05622489959839357,0.14457831325301204,0.01606425702811245,0.028112449799196786
289,2MZsEkfaIhXxdYj7P313UZ,Dollar Euro - EVEHIVE Remix,Dollar Euro (EVEHIVE Remix),Tassia Reis,2020-08-21,0,206783,0.944,0.056,0.636,9.76e-06,0.0648,0.53,-7.736,0.322,130.038,0,4,angry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,2XWusA74Rg68E23sVOfBlK,Man's World,Man's World,MARINA,2020-11-18,0,207226,0.496,0.401,0.709,0.0,0.0718,0.226,-5.684,0.0307,110.078,5,4,angry,0.12,0.04,0.04,0.08,0.04,0.08,0.24,0.0,0.24,0.12
291,049V1aSofNvW906vGZgFsD,Get On Your Knees,The Pinkprint (Deluxe),Nicki Minaj,2014-12-15,40,216493,0.654,0.31,0.445,0.0,0.116,0.175,-7.182,0.0412,144.014,0,4,angry,0.06766917293233082,0.07518796992481203,0.17293233082706766,0.03007518796992481,0.09774436090225563,0.05263157894736842,0.19548872180451127,0.045112781954887216,0.12030075187969924,0.14285714285714285
292,02b5L9jExmkRTdUTqXFzmR,Primadonna,Electra Heart,MARINA,2012-04-27,40,221075,0.66,0.0884,0.689,0.0,0.0922,0.427,-2.671,0.0337,127.98,4,4,angry,0.13114754098360656,0.08196721311475409,0.21311475409836064,0.14754098360655737,0.0,0.04918032786885246,0.22950819672131148,0.0,0.09836065573770492,0.04918032786885246
293,0AUvWawuP0ibk4SQ3sIZjk,Daisy,Daisy,Ashnikko,2020-07-09,61,146523,0.834,0.235,0.663,0.0,0.372,0.774,-6.143,0.133,121.876,8,4,angry,0.038461538461538464,0.11538461538461539,0.2153846153846154,0.12307692307692308,0.09230769230769231,0.038461538461538464,0.16923076923076924,0.046153846153846156,0.08461538461538462,0.07692307692307693
294,340UVheS8z3ncW9TTUhAbc,Nightmare,Nightmare,Halsey,2019-05-17,60,231998,0.607,0.0187,0.622,0.0,0.359,0.537,-5.075,0.0756,146.105,9,4,angry,0.03125,0.20833333333333334,0.265625,0.13020833333333334,0.13020833333333334,0.0,0.0625,0.08854166666666667,0.026041666666666668,0.057291666666666664
